Location,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Poyen,95.23%,1.84%,0.74%,,,1.47%,0.74%,1.84%,$30,625.00,$37,500.00,$27,813.00,$20,313.00,$13,835.00,2.80%,4.30%,5.10%,3.60%
Prairie County,84.83%,13.71%,0.36%,0.18%,,0.28%,0.64%,0.81%,$29,990.00,$36,131.00,$28,413.00,$18,808.00,$15,907.00,12.20%,15.50%,21.00%,16.80%
Prairie Creek,97.35%,0.16%,0.92%,0.22%,0.11%,0.22%,1.03%,0.92%,$59,000.00,$61,709.00,$52,969.00,$30,852.00,$37,355.00,2.30%,4.50%,8.10%,3.50%
Prairie Grove Township, Washington County,,,,,,,,,,,,,,,,,
Prairie Grove,91.08%,0.80%,2.90%,0.70%,0.10%,1.50%,2.10%,4.50%,,,,,,,,,
Prairie Township County,,,,,,,,,,,,,,,,,
Prairie Township, Ashley County,,,,,,,,,,,,,,,,,
Prairie Township, Boone County,,,,,,,,,,,,,,,,,
Prairie Township, Carroll County,,,,,,,,,,,,,,,,,
Prairie Township, Craighead County,,,,,,,,,,,,,,,,,
Prairie Township, Franklin County,,,,,,,,,,,,,,,,,
Prairie Township, Hot Spring County,,,,,,,,,,,,,,,,,
Prairie Township, Johnson County,,,,,,,,,,,,,,,,,
Prairie Township, Lonoke County,,,,,,,,,,,,,,,,,
Prairie Township, Madison County,,,,,,,,,,,,,,,,,
Prairie Township, Marion County,,,,,,,,,,,,,,,,,
Prairie Township, Newton County,,,,,,,,,,,,,,,,,
Prairie Township, Searcy County,,,,,,,,,,,,,,,,,
Prairie Township, Sebastian County,,,,,,,,,,,,,,,,,
Prairie Township, St. Francis County,,,,,,,,,,,,,,,,,
Prairie Township, Washington County,,,,,,,,,,,,,,,,,
Prairie Township, Yell County,,,,,,,,,,,,,,,,,
Prattsville,99.65%,,,0.35%,,,,0.35%,$42,679.00,$47,500.00,$30,000.00,$19,000.00,$17,544.00,9.80%,12.50%,19.10%,20.40%
Prescott,53.31%,44.49%,0.38%,0.08%,,1.17%,0.57%,1.76%,$21,612.00,$28,665.00,$27,384.00,$17,289.00,$11,515.00,27.50%,32.50%,38.70%,39.60%
Price Township, Washington County,,,,,,,,,,,,,,,,,
Princeton Township, Dallas County,,,,,,,,,,,,,,,,,
Proctor Township, Crittenden County,,,,,,,,,,,,,,,,,
Promised Land Township, Craighead County,,,,,,,,,,,,,,,,,
Promised Land Township, Lawrence County,,,,,,,,,,,,,,,,,
Pulaski County,63.96%,31.87%,0.39%,1.25%,0.04%,1.09%,1.40%,2.44%,$38,120.00,$46,523.00,$33,131.00,$25,943.00,$21,466.00,10.40%,13.30%,19.90%,9.80%
Pulaski Township, Lonoke County,,,,,,,,,,,,,,,,,
Pumpkin Bend Township, County,,,,,,,,,,,,,,,,,
Purdy Township, Madison County,,,,,,,,,,,,,,,,,
Pyatt,98.81%,0.40%,0.40%,,0.40%,,,0.40%,$19,583.00,$26,250.00,$22,321.00,$18,214.00,$8,633.00,10.50%,16.70%,12.90%,20.70%
Quitman,98.88%,,1.04%,0.14%,,,0.84%,0.42%,$24,375.00,$31,964.00,$28,750.00,$18,047.00,$15,537.00,11.80%,14.00%,12.20%,23.20%
Randolph County,96.99%,0.97%,0.53%,0.07%,0.01%,0.27%,1.15%,0.82%,,,,,,,,,
Randolph Township, Desha County,,,,,,,,,,,,,,,,,
Rankin Township, Perry County,,,,,,,,,,,,,,,,,
Ratcliff,98.43%,,0.52%,,,,1.05%,1.57%,$23,000.00,$27,500.00,$27,500.00,$16,875.00,$13,530.00,15.50%,20.50%,21.40%,22.60%
Ravenden Springs,100.00%,,,,,,,,$19,688.00,$23,438.00,$21,667.00,$21,250.00,$13,342.00,5.70%,10.50%,12.50%,12.20%
Ravenden,97.26%,,1.76%,,,0.59%,0.39%,1.37%,$25,625.00,$29,896.00,$23,281.00,$14,444.00,$10,723.00,19.50%,28.40%,48.60%,15.10%
Raymond Township, Monroe County,,,,,,,,,,,,,,,,,
Reader,50.00%,50.00%,,,,,,,$14,375.00,$14,583.00,$25,938.00,$13,750.00,$9,037.00,39.10%,38.40%,42.90%,0.00%
Rector,,,,,,,,,$21,051.00,$29,330.00,$27,650.00,$19,293.00,$14,931.00,17.90%,23.90%,33.30%,31.60%
Red Colony Township, Sevier County,,,,,,,,,,,,,,,,,
Red Fork Township, Desha County,,,,,,,,,,,,,,,,,
Red Hill Township, Ouachita County,,,,,,,,,,,,,,,,,
Red Lick Township, Johnson County,,,,,,,,,,,,,,,,,
Red River Township, Little River County,,,,,,,,,,,,,,,,,
Red River Township, Miller County,,,,,,,,,,,,,,,,,
Red River Township, Searcy County,,,,,,,,,,,,,,,,,
Red River Township, Stone County,,,,,,,,,,,,,,,,,
Red River Township, Van Buren County,,,,,,,,,,,,,,,,,
Red River Township, White County,,,,,,,,,,,,,,,,,
Red Stripe Township, Stone County,,,,,,,,,,,,,,,,,
Redfield,91.70%,4.80%,0.10%,0.50%,0.00%,0.60%,2.30%,1.80%,,,,,,,,,
Redland Township, Cleveland County,,,,,,,,,,,,,,,,,
Redland Township, Hempstead County,,,,,,,,,,,,,,,,,
Redland Township, Nevada County,,,,,,,,,,,,,,,,,
Reed Township, Washington County,,,,,,,,,,,,,,,,,
Reed,0.73%,96.36%,0.36%,,,0.73%,1.82%,1.09%,$16,806.00,$18,333.00,$27,813.00,$17,188.00,$8,727.00,29.50%,40.50%,53.30%,37.90%
Reeds Creek Township, Lawrence County,,,,,,,,,,,,,,,,,
Relief Township, Independence County,,,,,,,,,,,,,,,,,
Reveilee Township, Logan County,,,,,,,,,,,,,,,,,
Reyno Township, Randolph County,,,,,,,,,,,,,,,,,
Reyno,94.83%,3.51%,1.24%,,,,0.41%,0.62%,$21,250.00,$27,500.00,$23,542.00,$17,115.00,$11,373.00,30.10%,36.90%,50.00%,25.70%
Reynolds Township, Greene County,,,,,,,,,,,,,,,,,
Rheas Mill Township, Washington County,,,,,,,,,,,,,,,,,
Rich Mountain Township, Polk County,,,,,,,,,,,,,,,,,
Richardson Township, Randolph County,,,,,,,,,,,,,,,,,
Richland Township, Desha County,,,,,,,,,,,,,,,,,
Richland Township, Jefferson County,,,,,,,,,,,,,,,,,
Richland Township, Lee County,,,,,,,,,,,,,,,,,
Richland Township, Little River County,,,,,,,,,,,,,,,,,
Richland Township, Madison County,,,,,,,,,,,,,,,,,
Richland Township, Monroe County,,,,,,,,,,,,,,,,,
Richland Township, Newton County,,,,,,,,,,,,,,,,,
Richland Township, Washington County,,,,,,,,,,,,,,,,,
Richland Township, Yell County,,,,,,,,,,,,,,,,,
Richwoods Township, Jackson County,,,,,,,,,,,,,,,,,
Richwoods Township, Lawrence County,,,,,,,,,,,,,,,,,
Richwoods Township, Lonoke County,,,,,,,,,,,,,,,,,
Richwoods Township, Sharp County,,,,,,,,,,,,,,,,,
Richwoods Township, Stone County,,,,,,,,,,,,,,,,,
Riley Township, Yell County,,,,,,,,,,,,,,,,,
Rison Township, Cleveland County,,,,,,,,,,,,,,,,,
Rison,62.23%,33.36%,0.31%,0.24%,,1.73%,2.12%,2.20%,$20,865.00,$30,833.00,$26,500.00,$18,229.00,$13,106.00,25.60%,32.90%,46.00%,30.50%
River Township, Bradley County,,,,,,,,,,,,,,,,,
River Township, Calhoun County,,,,,,,,,,,,,,,,,
River Township, Grant County,,,,,,,,,,,,,,,,,
River Township, Logan County,,,,,,,,,,,,,,,,,
River Township, Ouachita County,,,,,,,,,,,,,,,,,
Roane Township, Lafayette County,,,,,,,,,,,,,,,,,
Roasting Ear Township, Stone County,,,,,,,,,,,,,,,,,
Roberts Township, Jefferson County,,,,,,,,,,,,,,,,,
Roc Roe Township, Monroe County,,,,,,,,,,,,,,,,,
Roc Roe Township, Prairie County,,,,,,,,,,,,,,,,,
Rock Creek Township, Searcy County,,,,,,,,,,,,,,,,,
Rockport,94.44%,2.40%,1.26%,0.63%,0.13%,,1.14%,0.63%,$35,250.00,$40,750.00,$26,875.00,$21,146.00,$15,299.00,2.50%,5.20%,3.10%,9.00%
Rockwell,97.12%,0.83%,0.40%,0.26%,,0.13%,1.26%,0.86%,$46,366.00,$53,241.00,$39,175.00,$30,035.00,$24,647.00,2.70%,4.50%,5.60%,1.40%
Roe,91.94%,7.26%,,,,,0.81%,,$38,750.00,$50,000.00,$31,500.00,$33,125.00,$23,028.00,6.70%,9.00%,12.10%,20.00%
Rogers Township, Sebastian County,,,,,,,,,,,,,,,,,
Rogers,90.75%,0.47%,1.05%,1.43%,0.07%,9.43%,1.80%,19.29%,$40,474.00,$45,876.00,$30,911.00,$22,020.00,$19,761.00,9.40%,12.80%,17.60%,10.10%
Roland,,,,,,,,,,,,,,,,,
Roller Ridge Township, Benton County,,,,,,,,,,,,,,,,,
Rondo,26.16%,70.04%,,,,,3.80%,1.69%,$15,000.00,$26,250.00,$25,000.00,$16,667.00,$13,601.00,32.70%,38.70%,48.60%,46.70%
Rose Bud,97.67%,,,0.23%,,,2.10%,,$34,732.00,$37,375.00,$28,438.00,$27,750.00,$22,677.00,11.00%,11.10%,23.30%,4.00%
Rose Creek Township, Perry County,,,,,,,,,,,,,,,,,
Roseville Township, Logan County,,,,,,,,,,,,,,,,,
Rosie Township, Independence County,,,,,,,,,,,,,,,,,
Rosston,41.89%,57.74%,,,,0.38%,,0.38%,$27,500.00,$36,250.00,$27,708.00,$18,750.00,$11,957.00,20.70%,26.20%,28.60%,32.50%
Round Prairie Township, Benton County,,,,,,,,,,,,,,,,,
Rover Township, Yell County,,,,,,,,,,,,,,,,,
Rowell Township, Cleveland County,,,,,,,,,,,,,,,,,
Royal Township, White County,,,,,,,,,,,,,,,,,
Ruddell Township, Independence County,,,,,,,,,,,,,,,,,
Rudy Township, Crawford County,,,,,,,,,,,,,,,,,
Rudy,95.83%,,4.17%,,,,,1.39%,$21,875.00,$26,250.00,$21,250.00,$13,750.00,$11,842.00,20.00%,19.20%,16.70%,25.00%
Running Lake Township, Randolph County,,,,,,,,,,,,,,,,,
Russell Township, Lafayette County,,,,,,,,,,,,,,,,,
Russell Township, White County,,,,,,,,,,,,,,,,,
Russell,99.56%,,0.44%,,,,,1.32%,$20,208.00,$26,250.00,$26,875.00,$26,042.00,$12,032.00,20.00%,23.30%,32.30%,15.00%
Russellville,83.20%,5.50%,0.70%,1.60%,0.00%,6.70%,2.30%,11.70%,$38,234.00,$49,440.00,$30,133.00,$19,906.00,$19,637.00,14.50%,18.80%,25.80%,9.10%
Rye,,,,,,,,,,,,,,,,,
Sage Township, Izard County,,,,,,,,,,,,,,,,,
Salado Township, Independence County,,,,,,,,,,,,,,,,,
Salem Township, Greene County,,,,,,,,,,,,,,,,,
Salem Township, Saline County,,,,,,,,,,,,,,,,,
Salem, Fulton County,97.42%,0.31%,0.31%,0.31%,,,1.63%,0.50%,$20,714.00,$28,359.00,$22,368.00,$17,356.00,$12,891.00,17.80%,21.80%,27.70%,20.80%
Salem, Saline County,98.03%,0.32%,0.47%,0.18%,,0.36%,0.65%,1.08%,$44,681.00,$52,216.00,$33,207.00,$26,337.00,$21,301.00,3.90%,3.10%,6.90%,0.00%
Salesville,95.42%,,1.37%,0.23%,,0.69%,2.29%,1.60%,$23,542.00,$33,611.00,$29,531.00,$17,250.00,$17,077.00,9.80%,12.90%,13.30%,13.80%
Saline County,95.27%,2.20%,0.49%,0.57%,0.03%,0.45%,1.00%,1.30%,$42,569.00,$48,717.00,$32,052.00,$23,294.00,$19,214.00,5.00%,7.20%,8.80%,7.30%
Saline Township, Cleburne County,,,,,,,,,,,,,,,,,
Saline Township, Cleveland County,,,,,,,,,,,,,,,,,
Saline Township, Drew County,,,,,,,,,,,,,,,,,
Saline Township, Hempstead County,,,,,,,,,,,,,,,,,
Saline Township, Hot Spring County,,,,,,,,,,,,,,,,,
Saline Township, Howard County,,,,,,,,,,,,,,,,,
Saline Township, Pike County,,,,,,,,,,,,,,,,,
Saline Township, Sevier County,,,,,,,,,,,,,,,,,
Saratoga Township, Howard County,,,,,,,,,,,,,,,,,
Scott County,85.35%,0.47%,1.85%,3.42%,,,2.12%,6.96%,$26,412.00,$30,311.00,$23,118.00,$17,127.00,$13,609.00,15.30%,18.20%,21.20%,14.10%
Scott Township, Lonoke County,,,,,,,,,,,,,,,,,
Scott Township County,,,,,,,,,,,,,,,,,
Scott Township, Poinsett County,,,,,,,,,,,,,,,,,
Scott Township, Sharp County,,,,,,,,,,,,,,,,,
Scott,64.89%,34.04%,,,,,1.06%,,$24,821.00,$32,321.00,$16,786.00,$19,464.00,$10,912.00,0.00%,0.00%,,
Scranton,97.30%,0.90%,,,,,1.80%,,$26,000.00,$30,313.00,$16,875.00,$18,750.00,$25,970.00,11.50%,17.80%,0.00%,34.20%
Searcy County,97.26%,0.04%,0.75%,0.15%,0.01%,0.45%,1.34%,1.04%,$21,397.00,$27,580.00,$21,768.00,$16,276.00,$12,536.00,17.80%,23.80%,31.00%,26.60%
Searcy Township, Cross County,,,,,,,,,,,,,,,,,
Searcy,86.80%,7.50%,0.50%,1.30%,0.10%,1.09%,1.90%,4.60%,$33,415.00,$41,334.00,$32,445.00,$21,142.00,$19,427.00,11.70%,15.00%,18.10%,8.00%
Sebastian County,72.83%,6.24%,1.88%,4.06%,0.09%,0.07%,2.78%,12.82%,$33,889.00,$41,303.00,$30,056.00,$22,191.00,$18,424.00,10.40%,13.60%,18.60%,10.00%
Sedgwick,98.21%,0.89%,0.89%,,,,,,$20,417.00,$25,417.00,$25,000.00,$18,750.00,$11,988.00,0.00%,4.00%,0.00%,22.20%
Self Creek Township, Pike County,,,,,,,,,,,,,,,,,
Sevier County,79.61%,4.94%,1.82%,0.13%,0.06%,11.84%,1.61%,19.72%,$30,144.00,$34,560.00,$25,709.00,$17,666.00,$14,122.00,14.40%,19.20%,26.90%,14.20%
Shady Grove Township, Greene County,,,,,,,,,,,,,,,,,
Shady Grove Township, Searcy County,,,,,,,,,,,,,,,,,
Shannon Hills,92.02%,3.94%,0.85%,0.75%,,0.90%,1.55%,2.04%,$40,068.00,$43,021.00,$31,184.00,$21,875.00,$16,292.00,6.70%,6.60%,7.60%,7.00%
Sharp County,97.14%,0.49%,0.68%,0.12%,0.02%,0.16%,1.39%,0.98%,$25,152.00,$29,691.00,$23,329.00,$16,884.00,$14,143.00,13.20%,18.20%,25.40%,13.20%
Shaw Township, Saline County,,,,,,,,,,,,,,,,,
Sheridan,97.34%,0.96%,0.28%,0.15%,0.05%,0.57%,0.65%,0.96%,$37,207.00,$43,953.00,$32,216.00,$22,891.00,$19,184.00,7.00%,9.80%,11.30%,17.60%
Sherman Township, Johnson County,,,,,,,,,,,,,,,,,
Sherrill,44.00%,56.00%,,,,,,,$23,750.00,$24,643.00,$32,813.00,$21,250.00,$15,096.00,16.20%,21.80%,30.30%,26.70%
Sherwood,75.30%,18.50%,0.50%,1.60%,0.10%,1.60%,2.40%,4.00%,$44,838.00,$51,510.00,$34,133.00,$25,757.00,$21,515.00,5.40%,6.30%,9.70%,4.20%
Shiloh Township, Randolph County,,,,,,,,,,,,,,,,,
Shirley,96.14%,0.89%,1.89%,,,,2.08%,1.19%,$23,958.00,$30,938.00,$21,875.00,$14,545.00,$10,096.00,14.10%,23.20%,34.20%,11.10%
Shoal Creek Township, Logan County,,,,,,,,,,,,,,,,,
Shores Township, Franklin County,,,,,,,,,,,,,,,,,
Short Mountain Township, Logan County,,,,,,,,,,,,,,,,,
Shumaker Township, Calhoun County,,,,,,,,,,,,,,,,,
Sidney,97.09%,,1.09%,,,,1.82%,0.73%,$22,000.00,$23,125.00,$19,375.00,$12,361.00,$8,926.00,2.00%,11.00%,7.70%,14.80%
Siloam Springs,85.22%,0.49%,4.29%,0.83%,0.08%,5.67%,3.42%,14.00%,$34,513.00,$41,153.00,$27,339.00,$21,451.00,$16,047.00,9.50%,12.50%,17.60%,8.60%
Siloam Township, Randolph County,,,,,,,,,,,,,,,,,
Silver Lake Township, Desha County,,,,,,,,,,,,,,,,,
Simpson Township, Grant County,,,,,,,,,,,,,,,,,
Six Mile Township, Franklin County,,,,,,,,,,,,,,,,,
Six Mile Township, Logan County,,,,,,,,,,,,,,,,,
Smackover Township, County,,,,,,,,,,,,,,,,,
Smackover Township, Union County,,,,,,,,,,,,,,,,,
Smackover,72.57%,26.28%,0.10%,0.05%,0.05%,,0.95%,0.25%,$28,807.00,$36,875.00,$31,081.00,$19,536.00,$14,461.00,9.10%,14.70%,18.80%,13.00%
Smart Township, Stone County,,,,,,,,,,,,,,,,,
Smith Township, Cleveland County,,,,,,,,,,,,,,,,,
Smith Township, Cross County,,,,,,,,,,,,,,,,,
Smith Township, Dallas County,,,,,,,,,,,,,,,,,
Smith Township, Lincoln County,,,,,,,,,,,,,,,,,
Smith Township, Saline County,,,,,,,,,,,,,,,,,
Smithville,97.26%,1.37%,1.37%,,,,,,$36,250.00,$45,250.00,$30,625.00,$19,375.00,$11,687.00,11.10%,26.50%,32.00%,53.30%
Smyrna Township, Pope County,,,,,,,,,,,,,,,,,
South Big Rock Township, Sharp County,,,,,,,,,,,,,,,,,
South Fork Township, Fulton County,,,,,,,,,,,,,,,,,
South Fork Township, Montgomery County,,,,,,,,,,,,,,,,,
South Harrison Township, Boone County,,,,,,,,,,,,,,,,,
South Joe Burleson Township, Marion County,,,,,,,,,,,,,,,,,
South Lead Hill,93.18%,,2.27%,,,,4.55%,1.14%,$30,625.00,$41,250.00,$28,250.00,$15,000.00,$15,724.00,0.00%,14.90%,0.00%,0.00%
South Lebanon Township, Sharp County,,,,,,,,,,,,,,,,,
South Union Township, Sharp County,,,,,,,,,,,,,,,,,
South Yocum Township, Carroll County,,,,,,,,,,,,,,,,,
Southall Township, Dallas County,,,,,,,,,,,,,,,,,
Spadra Township, Johnson County,,,,,,,,,,,,,,,,,
Sparkman,50.85%,42.15%,0.34%,,,6.48%,0.17%,6.83%,$25,208.00,$32,875.00,$26,875.00,$20,795.00,$12,492.00,14.00%,21.90%,28.40%,18.60%
Spring Creek Township, Lee County,,,,,,,,,,,,,,,,,
Spring Creek Township, Phillips County,,,,,,,,,,,,,,,,,
Spring Grove Township, Greene County,,,,,,,,,,,,,,,,,
Spring Hill Township, Drew County,,,,,,,,,,,,,,,,,
Spring River Township, Lawrence County,,,,,,,,,,,,,,,,,
Spring River Township, Randolph County,,,,,,,,,,,,,,,,,
Spring Township, Jefferson County,,,,,,,,,,,,,,,,,
Spring Township, Lincoln County,,,,,,,,,,,,,,,,,
Spring Township, Searcy County,,,,,,,,,,,,,,,,,
Springdale Township, Washington County,,,,,,,,,,,,,,,,,
Springdale,64.70%,1.80%,1.80%,2.00%,5.70%,22.00%,2.90%,35.40%,$26,523.00,$46,407.00,$31,495.00,$26,492.00,$18,645.00,17.40%,21.30%,33.60%,6.30%
Springhill Township, Hempstead County,,,,,,,,,,,,,,,,,
Springtown,85.09%,,6.14%,0.88%,,3.51%,4.39%,8.77%,$26,250.00,$38,750.00,$25,750.00,$21,250.00,$12,497.00,13.00%,10.20%,0.00%,0.00%
St. Charles,98.08%,1.75%,1.15%,,,,,0.77%,$24,375.00,$29,167.00,$25,417.00,$13,125.00,$13,481.00,18.80%,22.70%,21.40%,19.10%
St. Francis County,48.36%,49.01%,0.25%,0.56%,0.02%,0.40%,1.40%,4.88%,$26,146.00,$30,324.00,$28,389.00,$20,578.00,$12,483.00,23.10%,27.50%,38.70%,23.10%
St. Francis Township, Clay County,,,,,,,,,,,,,,,,,
St. Francis Township, Greene County,,,,,,,,,,,,,,,,,
St. Francis Township, Lee County,,,,,,,,,,,,,,,,,
St. Francis Township, Phillips County,,,,,,,,,,,,,,,,,
St. Francis,96.80%,,1.20%,,,,2.00%,0.40%,$30,278.00,$33,250.00,$19,205.00,$13,563.00,$11,198.00,16.90%,20.20%,25.00%,38.20%
St. Joe Township, Searcy County,,,,,,,,,,,,,,,,,
St. Joe,92.94%,,4.71%,,,,2.35%,,$20,000.00,$36,250.00,$20,000.00,$15,625.00,$12,238.00,0.00%,4.10%,0.00%,0.00%
St. Paul,100.00%,,,,,,,4.29%,$25,625.00,$26,250.00,$18,958.00,$15,500.00,$11,865.00,12.50%,16.90%,32.40%,12.50%
St. Vincent Township, Conway County,,,,,,,,,,,,,,,,,
Stamps,44.30%,54.48%,0.52%,0.09%,0.05%,,0.56%,0.61%,$22,194.00,$26,591.00,$25,667.00,$17,125.00,$11,440.00,22.80%,27.80%,31.00%,24.20%
Stanley Township County,,,,,,,,,,,,,,,,,
Star City,76.93%,21.08%,0.61%,,,0.04%,0.77%,1.21%,$32,197.00,$40,156.00,$34,107.00,$19,630.00,$13,998.00,15.90%,18.20%,27.00%,11.80%
Starr Hill Township, Washington County,,,,,,,,,,,,,,,,,
Staves,,,,,,,,,,,,,,,,,
Steel Township, Lafayette County,,,,,,,,,,,,,,,,,
Steele Township, Conway County,,,,,,,,,,,,,,,,,
Stephens,53.04%,45.83%,0.35%,,,0.17%,0.61%,0.69%,$22,045.00,$30,903.00,$25,568.00,$20,333.00,$10,608.00,30.40%,32.60%,41.70%,28.80%
Stone County,97.27%,0.08%,0.77%,0.05%,0.03%,0.15%,1.64%,1.08%,$22,209.00,$28,009.00,$20,904.00,$16,118.00,$14,134.00,14.10%,18.90%,26.20%,12.10%
Stonewall Township, Johnson County,,,,,,,,,,,,,,,,,
Strawberry Township, Fulton County,,,,,,,,,,,,,,,,,
Strawberry Township, Izard County,,,,,,,,,,,,,,,,,
Strawberry Township, Lawrence County,,,,,,,,,,,,,,,,,
Strawberry Township, Sharp County,,,,,,,,,,,,,,,,,
Strawberry,100.00%,,,,,,,0.71%,$23,438.00,$33,438.00,$32,500.00,$26,000.00,$14,621.00,16.90%,15.70%,17.90%,14.80%
Strong,42.24%,53.61%,0.15%,0.15%,,3.07%,0.77%,5.68%,$21,389.00,$26,023.00,$25,750.00,$20,417.00,$10,802.00,24.30%,32.30%,47.50%,22.60%
Stuttgart,64.00%,34.50%,0.20%,0.60%,0.01%,0.20%,0.50%,0.80%,$31,664.00,$39,126.00,$30,860.00,$21,817.00,$16,490.00,13.80%,18.20%,25.70%,17.30%
Subiaco,93.62%,3.64%,0.46%,0.23%,,0.23%,1.82%,0.68%,$38,182.00,$40,417.00,$25,125.00,$17,969.00,$14,012.00,6.00%,17.70%,16.70%,36.00%
Success,98.33%,,1.11%,,,,0.56%,1.11%,$25,625.00,$30,469.00,$19,250.00,$15,938.00,$30,955.00,19.30%,19.10%,20.00%,22.50%
Sugar Camp Township, Cleburne County,,,,,,,,,,,,,,,,,
Sugar Creek Township, Benton County,,,,,,,,,,,,,,,,,
Sugar Creek Township, Greene County,,,,,,,,,,,,,,,,,
Sugar Creek Township, Logan County,,,,,,,,,,,,,,,,,
Sugar Loaf Township, Boone County,,,,,,,,,,,,,,,,,
Sugar Loaf Township, Cleburne County,,,,,,,,,,,,,,,,,
Sugarloaf Township, Marion County,,,,,,,,,,,,,,,,,
Sugarloaf Township, Sebastian County,,,,,,,,,,,,,,,,,
Sulphur Rock,97.39%,,,,,,2.61%,2.14%,$30,000.00,$37,375.00,$25,417.00,$17,426.00,$13,309.00,6.30%,10.60%,9.60%,31.30%
Sulphur Springs Township, Benton County,,,,,,,,,,,,,,,,,
Sulphur Springs Township, Yell County,,,,,,,,,,,,,,,,,
Sulphur Springs, Jefferson County,,,,,,,,,,,,,,,,,
Sulphur Township, Miller County,,,,,,,,,,,,,,,,,
Sulphur Township, Montgomery County,,,,,,,,,,,,,,,,,
Summit Township, Boone County,,,,,,,,,,,,,,,,,
Summit Township, Marion County,,,,,,,,,,,,,,,,,
Summit,96.42%,0.51%,1.54%,,,0.17%,1.37%,1.54%,$22,500.00,$27,308.00,$20,054.00,$18,214.00,$10,393.00,13.50%,20.20%,29.70%,8.10%
Sumpter Township, Bradley County,,,,,,,,,,,,,,,,,
Sunset,4.89%,91.09%,,,,2.87%,1.15%,4.02%,$17,788.00,$17,250.00,$21,750.00,$20,625.00,$7,766.00,44.40%,49.90%,79.60%,27.90%
Swain Township, Clay County,,,,,,,,,,,,,,,,,
Swayne Township County,,,,,,,,,,,,,,,,,
Sweet Home,24.11%,74.02%,0.37%,0.09%,,,1.40%,1.12%,$23,352.00,$30,781.00,$22,069.00,$21,643.00,$8,868.00,21.70%,25.50%,23.30%,60.00%
Swifton,97.93%,0.46%,0.11%,,,1.03%,0.46%,2.30%,$24,375.00,$31,375.00,$22,500.00,$15,682.00,$11,922.00,17.50%,22.90%,34.30%,24.00%
Sylamore Township, Stone County,,,,,,,,,,,,,,,,,
Talladega Township, Jefferson County,,,,,,,,,,,,,,,,,
Tappan Township, Phillips County,,,,,,,,,,,,,,,,,
Tate Township, Scott County,,,,,,,,,,,,,,,,,
Taylor Township, Columbia County,,,,,,,,,,,,,,,,,
Taylor Township, Craighead County,,,,,,,,,,,,,,,,,
Taylor Township, Nevada County,,,,,,,,,,,,,,,,,
Taylor,94.70%,3.71%,0.53%,,0.18%,,0.88%,0.53%,$31,534.00,$39,167.00,$30,750.00,$18,125.00,$13,725.00,6.20%,9.50%,14.90%,11.50%
Telico Township, St. Francis County,,,,,,,,,,,,,,,,,
Tennessee Township, Grant County,,,,,,,,,,,,,,,,,
Texarkana,65.93%,31.00%,0.48%,0.50%,0.03%,0.61%,1.46%,1.78%,$31,343.00,$38,292.00,$35,204.00,$21,731.00,$17,130.00,17.20%,21.70%,33.00%,15.70%
Texas Township, Craighead County,,,,,,,,,,,,,,,,,
Texas Township, Lee County,,,,,,,,,,,,,,,,,
Thacker Township, Lawrence County,,,,,,,,,,,,,,,,,
Thompson Township, Pike County,,,,,,,,,,,,,,,,,
Thornton,56.48%,41.78%,0.19%,,,,1.55%,0.97%,$24,375.00,$31,125.00,$33,472.00,$16,071.00,$14,323.00,26.60%,33.90%,45.10%,32.80%
Tillar,91.67%,5.83%,0.42%,,,1.25%,0.83%,4.58%,$29,792.00,$34,821.00,$23,929.00,$22,500.00,$13,568.00,13.40%,16.50%,16.70%,19.00%
Timbo Township, Stone County,,,,,,,,,,,,,,,,,
Tinsman,93.33%,6.67%,,,,,,,$24,107.00,$24,643.00,$23,750.00,$23,750.00,$9,302.00,13.60%,32.10%,47.60%,23.50%
Tollette Township, Howard County,,,,,,,,,,,,,,,,,
Tollette,0.62%,98.46%,,,,,0.93%,,$24,688.00,$31,250.00,$19,063.00,$18,295.00,$10,589.00,11.70%,18.50%,17.50%,40.00%
Tomahawk Township, Searcy County,,,,,,,,,,,,,,,,,
Tomlinson Township, Logan County,,,,,,,,,,,,,,,,,
Tomlinson Township, Scott County,,,,,,,,,,,,,,,,,
Tontitown Township, Washington County,,,,,,,,,,,,,,,,,
Tontitown,96.28%,,1.70%,,0.11%,0.85%,1.06%,2.23%,$43,750.00,$47,589.00,$32,917.00,$25,750.00,$20,058.00,4.90%,8.70%,10.70%,6.90%
Totten Township, Lonoke County,,,,,,,,,,,,,,,,,
Traskwood Township, Saline County,,,,,,,,,,,,,,,,,
Traskwood,97.26%,0.73%,0.18%,,,0.73%,1.09%,1.28%,$33,929.00,$40,500.00,$27,750.00,$21,042.00,$13,555.00,12.80%,18.50%,28.70%,5.50%
Trumann,94.30%,4.04%,0.28%,0.20%,0.01%,0.45%,0.73%,0.81%,$26,533.00,$32,297.00,$26,196.00,$18,828.00,$12,419.00,17.40%,21.20%,28.50%,19.40%
Tubal Township, Union County,,,,,,,,,,,,,,,,,
Tuckerman,89.70%,8.71%,0.80%,,,,0.80%,0.91%,$27,000.00,$33,512.00,$27,750.00,$19,621.00,$13,803.00,10.80%,14.20%,13.50%,19.80%
