State,Year,Office,County,D#,R#,PI#,S#,MR#,Proh.#,SL#,Prog.#,U#,Am.#,I1#,I2#,I3#,Neb.#,Ref.#,NL#,Pet1.#,Pet.2#,G#,L#,NA#,W/I#,Pet.#,NPL#,Pet.#.1,W/I1#,W/I2#,W/I3#,W/I4#,Year/Office
Nebraska,1908,President,Fillmore,1989,1756,,24,,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Franklin,1298,1083,,38,,57,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Frontier,847,1098,,54,,55,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Furnas,1618,1400,,15,,92,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Gage,3129,3721,,69,,131,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Garden,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Garfield,363,368,,23,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Gosper,634,499,,3,,32,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Grant,101,93,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Greeley,1072,691,,29,,14,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Hall,2229,2241,,109,,102,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Hamilton,1664,1633,,22,,129,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Harlan,1158,1081,,49,,115,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Hayes,277,359,,42,,11,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Hitchcock,632,633,,14,,17,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Holt,1777,1541,,63,,99,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Hooker,91,100,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Howard,1435,977,,31,,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Jefferson,1787,1941,,39,,77,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Johnson,1150,1357,,8,,45,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Kearney,1174,993,,28,,121,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Keith,310,368,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Keya Paha,354,422,,49,,18,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Kimball,124,216,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Knox,2106,1871,,41,,79,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Lancaster,8540,7428,,85,,400,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Lincoln,1382,1541,,179,,80,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Logan,155,140,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Loup,170,248,,32,,10,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Madison,165,234,,18,,11,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,McPherson,1878,2137,,14,,40,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1908,President,Merrick,1081,1133,,15,,186,,,,,,,,,,,,,,,,,,,,,,,,
