State,Year,Office,County,D#,R#,Pop.#,PF#,Proh.#,BR#,Right.#,FB#,Labor#,Wor.#,Nat.#,Cit.#,Free.#,Comm.#,S#,Ind.#,Prog.#,SD#,SL#,FS#,S&L#,SW#,SE#,FL#,Chr.#,Liberty#,Justice#,U#,Am.#,I1#,I2#,I3#,Ref.#,NL#,G#,L#,NA#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,D1#,D2#,R1#,R2#,ULS#,WSAL#,CNPM#,CNP#,IP#,New#,Buffalo#,C#,W/I#,State#,OWL#,T#,I#,Year / Office,Prog.#.1,Christian#,CON#,NM#
Washington,,,Snohomish,167967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161752,,,,,,,,,,1020,,,,,2016 Auditor,,,,
Washington,,,Spokane,95689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123279,,,,,,,,,,408,,,,,2016 Auditor,,,,
Washington,,,Stevens,6617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15236,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Thurston,66931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56918,,,,,,,,,,273,,,,,2016 Auditor,,,,
Washington,,,Wahkiakum,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,,,,,,5,,,,,2016 Auditor,,,,
Washington,,,Walla Walla,9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14292,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Whatcom,57669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47409,,,,,,,,,,208,,,,,2016 Auditor,,,,
Washington,,,Whitman,7779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8748,,,,,,,,,,0,,,,,2016 Auditor,,,,
Washington,,,Yakima,32347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42382,,,,,,,,,,84,,,,,2016 Auditor,,,,
Washington,,,Adams,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,,,,,,,,,,0,,,,,2016 Insurance Commissioner,,,,
